case_id,customer_message,intent,confidence,retrieval_similarity,action,reply,correctness,grounding,relevance,helpfulness,no_unsupported_claims,overall,judge_reason
11,My iPhone keeps restarting after the latest update.,software_update_bug,0.1292,0.4875629369424716,ESCALATE,"We're glad you reached out, and we'd like to help take a closer look at your iPhone restarting after the update. What appears on the screen when it restarts?",5,5,5,5,5,5,"The AI reply is relevant, polite, highly grounded in historical Apple support patterns, and asks an appropriate diagnostic question without making any false claims."
12,I can't download any apps from the App Store.,purchase_service_support,0.1259,0.7570151849128197,ESCALATE,"We're here to help get your apps downloading again. Please send us a direct message with the device you're using, its current OS version, and whether you're seeing any error messages when trying to download.",5,5,5,5,5,5,"The AI reply directly addresses the customer's issue, follows the tone and structure of the historical evidence by asking for device/OS details and error messages via DM, and makes no unsupported claims."
13,My Apple ID keeps saying my password is incorrect.,account_authentication,0.1099,0.4216069971841832,ESCALATE,"We want to help with this. Which device are you using, and what software version is currently installed on it? Also, are you able to sign in to your Apple ID on a web browser without any issue? 

Feel free to send us a Direct Message if you need additional assistance.",5,5,5,5,5,5,"The AI reply closely mirrors the historical response style and diagnostic questions used by Apple Support for authentication issues, asking relevant troubleshooting questions without making unsupported claims."
14,My iPhone camera suddenly stopped working.,device_hardware,0.1133,0.4100081105864208,ESCALATE,"We want to help get your camera working again. Could you share a few more details about what happens when you open the Camera app? Do you see a black screen or get an error message? 

Send us a DM with those details so we can assist you further.",5,5,5,5,5,5,"The reply perfectly mirrors the tone, diagnostic style, and call-to-action found in the historical Apple Support responses while directly addressing the customer's camera issue."
15,I need help restoring my data from an iCloud backup.,icloud_backup_restore,0.1043,0.2940067860413757,ESCALATE,We'll be happy to help! Please send us a DM so we can look into this for you.,5,5,5,4,5,5,"The reply is highly accurate, strongly grounded in historical evidence templates, relevant, and makes no false claims, though it directs the user to a private channel rather than providing immediate troubleshooting steps."
16,There is a subscription charge on my account that I don't recognize.,device_hardware,0.1083,0.3275058897595017,ESCALATE,We'd like to look into this with you. Please send us a direct message with more details about the charge so we can assist.,5,5,5,5,5,5,"The AI reply closely mirrors the tone and structure of the historical evidence, appropriately directing the customer to a private direct message to safely investigate the unrecognized subscription charge without making any false claims."
17,My AirPods won't connect to my iPhone.,software_update_bug,0.1099,0.4000591178015709,ESCALATE,We've got your back! What happens when you try to connect your AirPods to your iPhone? Are you seeing any error messages?,5,5,5,5,5,5,"The AI reply adapts the proven customer support template from the historical evidence accurately to the user's specific device (AirPods), asking appropriate clarifying troubleshooting questions without making unsupported claims."
18,My MacBook is running very slowly after the update.,device_hardware,0.1295,0.3363974218451774,ESCALATE,"We'd like to help look into this with you. Please send us a DM with your MacBook model and additional details about where you're noticing the slowness, and we can get started.",5,5,5,5,5,5,"The response perfectly aligns with the historical support pattern by offering assistance, asking the customer to DM their specific device model, and inquiring where the slowness is occurring without making any false claims."
19,My music library has disappeared from my iPhone.,media_music,0.1306,0.606765922568644,ESCALATE,"We would like to look into this issue with you. Were these missing songs purchased from the iTunes Store? Also, please let us know what software version your iPhone is currently running so we can provide the proper troubleshooting steps.",5,5,5,5,5,5,"The AI reply is accurate, highly relevant, and directly adapted from the historical evidence. It asks appropriate diagnostic questions (iTunes purchase history and software version) to effectively troubleshoot the missing music library issue."
20,How do I change the settings on my iPhone?,how_to_settings,0.142,0.3390664522449008,ESCALATE,"We'd like to help. Could you let us know which specific settings you are trying to change, as well as your iPhone model and iOS version?",5,5,5,4,5,5,"The customer's request is extremely broad. Asking for clarification regarding the specific setting, iPhone model, and iOS version is fully accurate, relevant, grounded in historical Apple Support interaction patterns, and makes no unsupported claims."
21,My iPhone screen is not responding to touch.,connectivity,0.1084,0.5406925696449354,ESCALATE,We'd like to look into this with you. Try performing a forced restart on your iPhone. Please send us a Direct Message with your iPhone model and the results of the restart so we can continue assisting you.,5,5,5,5,5,5,"The AI reply directly addresses the customer's issue with an actionable troubleshooting step (forced restart), asks for the phone model, and requests a direct message, perfectly synthesizing the pattern from the historical evidence."
22,I can't connect my iPhone to Bluetooth.,connectivity,0.1079,0.393369574238408,ESCALATE,"Let's work on this together. Could you tell us which iPhone model you have, what device you are trying to connect to, and what issue or error occurs when you try to connect?",5,5,5,5,5,5,"The AI reply is directly grounded in the historical evidence, using similar phrasing ('Let's work on this together') and asking necessary clarifying questions to help troubleshoot the Bluetooth connection issue."
23,My battery is not charging properly.,battery_charging,0.1737,0.3459676424407373,ESCALATE,"We're here to help get this figured out. To start, are you using an Apple-certified charger? Also, when did this behavior start, and which device are you having this issue with?",5,5,5,5,5,5,"The AI reply directly uses phrasing and diagnostic questions heavily grounded in the historical evidence while being relevant, helpful, and free of unsupported claims."
24,I purchased an app by mistake and need help.,device_hardware,0.0997,0.45417574140709815,ESCALATE,"We're here to help. You can request a refund for your purchase here: https://t.co/tlZYM6JMKL, or reach out directly to our iTunes Store support team so they can look into this with you: https://t.co/SDIe7UiyJN",5,5,5,5,5,5,"The AI reply is accurate, directly addresses the customer's issue with actionable links, and is fully grounded in the provided historical evidence."
25,My iPhone is overheating since I installed the latest iOS.,how_to_settings,0.1126,0.30059283879804344,ESCALATE,We'd like to look into this with you. Please send us a DM with more details on what you're experiencing with your iPhone so we can help get started.,5,5,5,4,5,5," The reply is highly relevant, polite, and strongly grounded in historical evidence patterns where the support team requests a DM to gather more details for troubleshooting post-update issues."
26,I forgot my Apple ID and can't access my account.,how_to_settings,0.099,0.5458095942803186,ESCALATE,"We're here to help. If you forgot the email address you use as your Apple ID, there are steps you can try to find it. If you know your Apple ID but don't know the password, you can reset it. 

Could you clarify if you need help finding your Apple ID email address or resetting your password?",5,5,5,5,5,5, The response accurately reflects the patterns in the historical evidence by addressing the ambiguity of 'forgot my Apple ID' (finding the email vs. resetting the password) and asking a helpful clarifying question.
27,My iPhone keeps showing an error when I try to update it.,software_update_bug,0.1122,0.3776420253301245,ESCALATE,We're here to help get your iPhone updated. Could you let us know what specific error message you're seeing and what model of iPhone you have? Please send us a Direct Message so we can take a closer look into this with you.,5,5,5,5,5,5,"The reply directly addresses the customer's issue, closely aligns with historical responses for similar update error queries, asks the necessary clarifying questions (error message and iPhone model), and appropriately directs the customer to DM for further support."
28,I need help setting up my new iPhone.,software_update_bug,0.1045,0.6777308015149041,ESCALATE,Thanks for reaching out! We're happy to help set up your new iPhone. Send us a DM with your current country or region so we can provide the best steps to get you started.,5,5,5,5,5,5,"The response perfectly aligns with historical support patterns by politely acknowledging the user, asking for their country/region via DM to provide tailored setup steps, and making no unsupported claims."
29,My apps are crashing whenever I open them.,software_update_bug,0.1069,0.3512972583609449,ESCALATE,"We'd be glad to help! To get started, could you let us know which iOS version is currently installed on your device, and if your apps are fully updated? Also, does the crash send you back to the Home screen?",5,5,5,5,5,5,"The AI reply directly mirrors standard diagnostic questions found in the historical evidence (iOS version, updated apps, crashing to Home screen) and accurately addresses the customer's issue."
30,My iCloud backup isn't completing.,app_functionality,0.093,0.3346443476483896,ESCALATE,"We're here to help get your iCloud backup working. 

Have you tried restarting your device yet? Also, if you're seeing a specific error message when the backup fails, please let us know what it says so we can best assist you.",5,5,5,5,5,5,"The AI reply directly addresses the customer's issue by suggesting a restart and asking for error details, mirroring effective troubleshooting steps and tone found in the historical evidence."
