case_id,initial_customer_message,final_apple_reply,conversation,intent,label_notes,review_status
case_039048,@115858 Why can't i select more than one language on my Siri settings? #Bilingualproblems,@448488 We welcome suggestions. The following link is a great place to submit that feedback: https://t.co/eTPVYVFyd8,"Customer: @115858 Why can't i select more than one language on my Siri settings? #Bilingualproblems
AppleSupport: @448488 We welcome suggestions. The following link is a great place to submit that feedback: https://t.co/eTPVYVFyd8",how_to_settings,,human_confirmed
case_012498,I’m so close to throwing this fucking iPhone in the nearest ocean. @115858 FIX THIS SHIT!,@535668 Thank you for reaching out to us. We want to look into this with you. DM us the exact iOS version you're running. https://t.co/GDrqU22YpT,"Customer: I’m so close to throwing this fucking iPhone in the nearest ocean. @115858 FIX THIS SHIT!
Customer: @535668 @115858 Wait throw it to me if it’s a 7 plus
Customer: @535669 @115858 It sure the hell is. I’ll walk it to you. This update has killed my entire Apple experience
Customer: @535668 @115858 Did u turn off your auto brightness, background app refresh
Customer: @535669 @115858 All those things been off. The phone itself keeps crashing. Everything is slow and laggy. It’s the worst man
AppleSupport: @535668 Thank you for reaching out to us. We want to look into this with you. DM us the exact iOS version you're running. https://t.co/GDrqU22YpT",other_unclear,,human_confirmed
case_029390,"@AppleSupport# something horrible happening with my 6s after ios 11 update, even the three bug fix releases made it worse than before","@355063 Understood. Meet up with us in DM with the specific version of iOS you have installed, and we'll take a look together. https://t.co/GDrqU22YpT","Customer: @AppleSupport# something horrible happening with my 6s after ios 11 update, even the three bug fix releases made it worse than before
AppleSupport: @355063 You've come to the right place for support with your iPhone. Tell us a little about what's going on.
Customer: @AppleSupport Phone getting hanged frequently &amp;apps are crashing( app icons are disappearing from the screen)whatsapp icon used keep on blinking
AppleSupport: @355063 Understood. Meet up with us in DM with the specific version of iOS you have installed, and we'll take a look together. https://t.co/GDrqU22YpT",software_update_bug,,human_confirmed
case_049720,"@AppleSupport Can you tell me why this boxes keep coming up every time I pressed the letter ""I"" on the iPhone?",@473149 We'd be happy to help you out with your keyboard! Send us a DM and we'll talk from there. https://t.co/GDrqU22YpT,"Customer: @AppleSupport Can you tell me why this boxes keep coming up every time I pressed the letter ""I"" on the iPhone?
Customer: @AppleSupport * these
AppleSupport: @473149 We'd be happy to help you out with your keyboard! Send us a DM and we'll talk from there. https://t.co/GDrqU22YpT",app_functionality,,human_confirmed
case_074129,"@AppleSupport I have a problem with my MacBook Air, when I turn it on, the screen only lights a little and nothing happens",@664426 We've received your DM and will be sending a message shortly. Thanks for reaching out to us about your MacBook Air.,"Customer: @AppleSupport I have a problem with my MacBook Air, when I turn it on, the screen only lights a little and nothing happens
AppleSupport: @664426 We've received your DM and will be sending a message shortly. Thanks for reaching out to us about your MacBook Air.",device_hardware,,human_confirmed
case_059837,"@AppleSupport Yo, why do apps on my new macbook air keep freezing??? I've lost assignments and documents multiple times this semester. 🤬",@598904 We want to help. Send us a DM letting us know which version of OS is on this computer. Here's how: https://t.co/aTSJR8BjEc https://t.co/GDrqU22YpT,"Customer: @AppleSupport Yo, why do apps on my new macbook air keep freezing??? I've lost assignments and documents multiple times this semester. 🤬
AppleSupport: @598904 We want to help. Send us a DM letting us know which version of OS is on this computer. Here's how: https://t.co/aTSJR8BjEc https://t.co/GDrqU22YpT",app_functionality,Apps freezing on MacBook Air; application functionality issue,human_confirmed
case_091791,@AppleSupport hi please how can I change my country store when the amount of credit in my account couldn’t be used anymore in order to change,"@274459 Thanks so much for reaching out to us today. For this particular issue, we'd like to have you reach out to our support team in the iTunes Store, they'll be able to take a closer look into this for you. You can contact them through this link: https://t.co/SDIe7UiyJN","Customer: @AppleSupport hi please how can I change my country store when the amount of credit in my account couldn’t be used anymore in order to change
Customer: @AppleSupport https://t.co/nRaTCOswMF
AppleSupport: @274459 Thanks so much for reaching out to us today. For this particular issue, we'd like to have you reach out to our support team in the iTunes Store, they'll be able to take a closer look into this for you. You can contact them through this link: https://t.co/SDIe7UiyJN",how_to_settings,,human_confirmed
case_010781,@AppleSupport Are you guys aware of TVos 11 issue preventing iTunes from playing music and video? @318 &amp; @116602 fine though!,@162981 DM us the Apple device you are using and we’ll do our best to assist you. https://t.co/GDrqU22YpT,"Customer: @AppleSupport Are you guys aware of TVos 11 issue preventing iTunes from playing music and video? @318 &amp; @116602 fine though!
AppleSupport: @162981 Great question. Let us know more about what you are seeing there. We'd love to help or get you to the right place.
Customer: @AppleSupport iTunes/Music opens fine but do not play any song. All others apps are working perfectly (audio and video).
AppleSupport: @162981 DM us the Apple device you are using and we’ll do our best to assist you. https://t.co/GDrqU22YpT",media_music,,human_confirmed
case_000656,@AppleSupport How do I delete this. (Documents and data) https://t.co/neYsZdSIEL,"@172587 That's a great question! So we can look into this, may we get the iOS shown in Settings &gt; General &gt; About?","Customer: @AppleSupport How do I delete this. (Documents and data) https://t.co/neYsZdSIEL
AppleSupport: @172587 That's a great question! So we can look into this, may we get the iOS shown in Settings &gt; General &gt; About?",how_to_settings,,human_confirmed
case_083927,@115858 @AppleSupport @188 why is it I can only go on fb messenger ONLY on wifi but everyone else I know doesn’t have to use their wifi to access it,@199885 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this with you there. https://t.co/GDrqU22YpT,"Customer: @115858 @AppleSupport @188 why is it I can only go on fb messenger ONLY on wifi but everyone else I know doesn’t have to use their wifi to access it
AppleSupport: @199885 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can look into this with you there. https://t.co/GDrqU22YpT",connectivity,,human_confirmed
case_014908,"@AppleSupport my phone won’t play any sound when making or receiving a call, even after the newest update. Any suggestions?",@311364 We want to help. Can you tell us which steps you've tried so far? This way we won't have you do any steps over again.,"Customer: @AppleSupport my phone won’t play any sound when making or receiving a call, even after the newest update. Any suggestions?
AppleSupport: @311364 We want to help. Can you tell us which steps you've tried so far? This way we won't have you do any steps over again.",device_hardware,,human_confirmed
case_087980,"Disappointed @116333 that  watch stainless steel band, that works on my series 1 watch, does not lock on my series 3 watch. Getting no help or solution with @AppleSupport phone or  store.",@765151 We'd like to take a further look at this with you. Please meet us in DM to proceed. https://t.co/GDrqU22YpT,"Customer: Disappointed @116333 that  watch stainless steel band, that works on my series 1 watch, does not lock on my series 3 watch. Getting no help or solution with @AppleSupport phone or  store.
AppleSupport: @765151 We'd like to take a further look at this with you. Please meet us in DM to proceed. https://t.co/GDrqU22YpT",purchase_service_support,,human_confirmed
case_045490,@AppleSupport why is my IPhone 7+ replacing I with a question mark in a box? I’m on iOS11.1 😅 not cool,@449093 We'd like to look more into this. Reach us via DM to continue and gather more information. https://t.co/GDrqU2kzhr,"Customer: @AppleSupport why is my IPhone 7+ replacing I with a question mark in a box? I’m on iOS11.1 😅 not cool
AppleSupport: @449093 We'd like to look more into this. Reach us via DM to continue and gather more information. https://t.co/GDrqU2kzhr",software_update_bug,,human_confirmed
case_010796,@AppleSupport just bought the iPhone 8 plus but I can’t access my backup because it’s out of date. Please help https://t.co/xacZpyEORE,"@613197 We can help with your new iPhone. Try connecting to a different Wi-Fi network, and DM us if this continues. https://t.co/GDrqU22YpT","Customer: @AppleSupport just bought the iPhone 8 plus but I can’t access my backup because it’s out of date. Please help https://t.co/xacZpyEORE
AppleSupport: @613197 We can help with your new iPhone. Try connecting to a different Wi-Fi network, and DM us if this continues. https://t.co/GDrqU22YpT",icloud_backup_restore,,human_confirmed
case_011623,@AppleSupport sometimes my screen will loss sense of touch after installing iOS 11 do something https://t.co/v2lXnpGXcf,@560359 We can definitely take a look at this with you. Let us know what type of iPhone you're using via DM. https://t.co/GDrqU22YpT,"Customer: @AppleSupport sometimes my screen will loss sense of touch after installing iOS 11 do something https://t.co/v2lXnpGXcf
AppleSupport: @560359 We can definitely take a look at this with you. Let us know what type of iPhone you're using via DM. https://t.co/GDrqU22YpT",software_update_bug,,human_confirmed
case_027121,@AppleSupport I’m having issues with my alarm not going off. I have the lastest up date but since switching to iOS 11 they don’t work,@328061 Got it. We're going to need some room to dig in on this issue. Can you join us in DM? https://t.co/GDrqU22YpT,"Customer: @AppleSupport I’m having issues with my alarm not going off. I have the lastest up date but since switching to iOS 11 they don’t work
AppleSupport: @328061 We're happy to help out. Have you updated to iOS 11.0.3?
Customer: @AppleSupport Yes I have
AppleSupport: @328061 Got it. We're going to need some room to dig in on this issue. Can you join us in DM? https://t.co/GDrqU22YpT",software_update_bug,,human_confirmed
